slang,baku
mkst,maksud
wong2,wong-wong
rempong,repot
ngurusin,mengurusi
kerjaan,pekerjaan
bingittzz,banget
bangets,banget
ikh,ih
dwh,deh
nengok,menengok
bante,bantai
la,lah
komenannya,komentarnya
hadapin,menghadapi
dengarin,mendengarkan
ush,usah
cock,cocok
widihh,waduh
cita2,cita-cita
temen-temen,teman-teman
stu,satu
syratnya,syaratnya
pnjang,panjang
shat,sehat
inginkn,inginkan
belanjaa,belanja
burem,buram
tlp,telepon
dngan,dengan
ngerasain,merasai
kancang,kencang
tmbh,tambah
mansyoallah,masyaallah
skali,sekali
canttikk,cantik
subhanalloh,subhanallah
lkuin,lakukan
langgenh,langgeng
foto2nya,foto-fotonya
tanggung2,tanggung-tanggung
salluutt,salut
pkai,pakai
org2,orang-orang
mkn,makin
seneng,senang
pdng,padang
warbiyasah,luar biasa
pk,pakai
keedaannya,keadaannya
lagu2,lagu-lagu
saya2,saya-saya
sekrng,sekarang
lagu2nya,lagu-lagunya
ttap,tetap
spertinya,sepertinya
mrah,marah
gra2,gara-gara
sngaja,sengaja
jlek,jelek
udah2,sudah-sudah
ungkit2,ungkit-ungkit
pura2,pura-pura
gatau,enggak tau
curhat2,curhat-curhat
matany,matanya
dteng,datang
mata'y,matanya
baju2,baju-baju
buruann,buruan
emng,memang
perubut,perebut
sumai,suami
tk,tak
urusin,mengurusi
apah,apa
bagus2,bagus-bagus
say,sayang
mmbela,membela
mslhnya,masalahnya
hnya,hanya
sndri,sendiri
sj,saja
llki,lelaki
dluar,diluar
sna,sana
boleh2,boleh-boleh
dya,dia
maluu,malu
beda2,beda-beda
nyaranin,menyarankan
x,kali
tongolin,menongol
cabol,cabul
ape,apa
nyet,monyet
muna,munafik
jing,anjing
tot,entot
nihh,nih
hidiyah,hidayah
percya,percaya
bgi,bagi
tlg,tolong
sya,saya
sdri,sendiri
tdi,tadi
mgkin,mungkin
bhwa,bahwa
skaligus,sekaligus
cek2,cek-cek
spti,seperti
smakin,semakin
sbgai,sebagai
mgk,mungkin
sapa2,sapa-sapa
sama2,sama-sama
kyknya,kayaknya
pnya,punya
dng,dengan
bbrp,beberapa
bhw,bahwa
banyaak,banyak
baik2nya,baik-baiknya
tunjukan,tunjukkan
anak2mu,anak-anakmu
anak2,anak-anak
ngasih2,mengasih-ngasih
berfikir,berpikir
amit2,amit-amit
mba,mbak
elu,lu
ngajuin,mengajukan
tiba2,tiba-tiba
jkt,jakarta
terbaeq,terbaik
namany,namanya
jels,jelas
diakibtkn,diakibatkan
suk,suka
jelek2,jelek-jelek
dsrny,dasarnya
jkrta,jakarta
mantaap,mantapp
benar2,benar-benar
main2,main-main
lanjutkaan,lanjutkan
ncek,encek
majuu,maju
teruuss,teruss
kdg2,kadang-kadang
sebelumbya,sebelumnya
tunjukin,tunjukkan
"tahun"",tahun-tahun"
koment,komentar
nyampein,menyampaikan
hokii,hoki
naksir,menaksir
"bangt"",banget-banget"
nafkahin,menafkahi
ngitem,menghitam
"sama"",sama-sama"
gx,enggak
lhat,lihat
cantika,cantik
cwek,cewek
kngen,kangen
fillm,film
sinet,sinetron
jendral,jenderal
nanya,tanya
maenya,mainnya
cantiks,cantik
wktu,waktu
pilm,film
taon,tahun
nd,indak
slah,salah
cini,sini
jaangan,jangan
nambah,bertambah
naek,naik
terimaksih,terima kasih
inii,ini
kaann,kan
tidakk,tidakk
kemuh,kamu
da,sudah
keren2,keren-keren
sby,surabaya
tgl,tanggal
pinginn,penginn
buanget,banget
ketemuu,ketemuu
kebawa,terbawa
mimpii,mimpi
wanjerr,anjir
satupunn,satupunn
motret,memotret
temen2,teman-teman
lapakk,lapak
nyenii,menyeni
bget,banget
seeh,sih
abis,habis
deuhh,duh
b2an,berduaan
dihargain,dihargai
"engga"",enggak-enggak"
tahun2,tahun-tahun
lebayy,lebay
gilss,gila
nganbek,mengambek
enk,enak
mendam,memendam
manta,mantan
relaa,rela
bgun,bangun
tdur,tidur
cntk,cantik
knl,kenal
anugrah,anugerah
slm,salam
kliatan,kelihatan
awoohh,allah
gt,begitu
sbbyak,sebanyak
apun,apapun
nyangkutnya,menyangkutnya
untk,untuk
hy,hai
wadaaw,waduh
paraah,parah
sampw,sampai
dijelekin,dijelekkan
azeek,asik
ntikk,cantik
uhh,uh
mayan,lumayan
mniss,maniss
tambahim,tambahkan
tambahin,tambahkan
"bener"",benar-benar"
make,memakai
baanggeett,bangett
ap,apa
siihh,sih
krpoo,kepo
pengn,pengin
nyusul,menyusul
nyok,yuk
dekk,dek
ngiri,mengiri
mmang,memang
nentuin,menentukan
mnjmput,menjemput
ygs,sayang
mbloo,jomblo
ber'expresi,berekspresi
jdulnya,judulnya
ciumman,ciuman
aurot,aurat
laginy,laginya
alkhamdulilah,alhamdulillah
ktnya,katanya
selaluu,selalu
ngeh,engah
amen,amin
qm,kamu
nahh,nah
ngmngnya,mengomongnya
sampai2,sampai-sampai
hal2,hal-hal
komunitas2,komunitas-komunitas
fotony,fotonya
ngiritya,mengiritnya
hematt,hematt
nget,banget
kususnya,khususnya
krm,kirim
sam,sama
ajaahh,saja
syediihh,sedih
malangg,malang
beloomm,belum
kebukti,terbukti
anak2e,anak-anaknya
tuwanya,tuanya
comen2nya,komen-komennya
pedess,pedas
jelas2,jelas-jelas
skg,sekarang
nyebut2,menyebut-nyebut
plg,pulang
smbil,sambil
helloo,halo
ngrebut,merebut
mnjdi,menjadi
taek,tahi
lupain,melupakan
bangkret,bangkrut
taekk,tahi
kedokk,kedok
"mati""an,mati-matian"
nyimak,menyimak
komenx,komennya
serem2,seram-seram
"ngumpet"",mengumpet-ngumpet"
blim,belum
sekrang,sekarang
ngerebut,merebut
mnjijikaan,menjijikkan
astgfrlh,astagfirullah
sahabatt,sahabat
gnyngka,enggak menyangka
sendirir,sendiri
brengsekk,brengsek
ngomentnya,mengomentarinya
nusuk,menusuk
skr,sekarang
dpotong,dipotong
helo,halo
kmrin,kemarin
ngmgin,mengomongkan
bilangg,bilang
gkhianati,mengkhianati
kpd,kepada
hr,hari
sp,siapa
pljaran,pelajaran
spy,supaya
mngikuti,mengikuti
klkuan,kelakuan
dibikin2,dibikin-bikin
gimana,bagaimana
nnt,nanti
cew,cewek
cow,cowok
kasiann,kasihan
syekalii,sekali
hgga,hingga
ciee,cie
sholihah,salihah
adeuh,aduh
halahh,alah
luu,lu
yuuks,yuk
yoo,ayo
ginian,beginian
judulnyaa,judulnya
ayookk,ayo
artix,artinya
cewe,cewek
cowo,cowok
lt,lantai
"nama"",nama-nama"
cwe,cewek
serem,seram
kepoin,mengepoi
keluarin,mengeluarkan
mbak2,mbak-mbak
pedes,pedas
komentnya,komentarnya
omongin,mengomongkan
ngalirr,mengalir
idup,hidup
nmbah,bertambah
teross,terus
ngehujat,menghujat
dosaa,dosa
ngebela,membela
seindonesiyah,seindonesia
seh,sih
senyumin,senyumi
mh,mah
ngalir,mengalir
ngrusak,merusak
px,punya
kslhn,kesalahan
skrngnya,sekarangnya
emang,memang
kalik,kali
bilangin,bilang
nyambungin,menyambung
sllu,selalu
scra,secara
nggali,menggali
cmpur,campur
dgr,dengar
kurng,kurang
nangiis,menangis
ngomentarin,mengomentari
idupnya,hidupnya
ortunya,orang tuanya
woey,woy
bloghh,goblok
ngomongin,mengomongkan
doank,doang
"abal"",abal-abal"
dikata2in,dikata-katai
ngehina,menghina
gmna,bagaimana
kebanggan,kebanggaan
dah,deh
jngn,jangan
mnjawab,menjawab
wooii,woy
ingt,ingat
karmaa,karma
ngkk,mengakak
makny,maknya
wdoohh,waduh
kasihn,kasihan
lhirr,lahir
hujatann,hujatan
palgi,apalagi
kakakk,kakak
baguss,bagus
jt,juta
ngets,banget
stp,setiap
penbelian,pembelian
cuaantik,cantikk
sukakk,sukaa
m,sama
cucokk,cocokk
lyt,lihat
expresi,ekspresi
natap,menatap
ccok,cocok
dripada,daripada
difotoin,difoto
psangan,pasangan
cakepp,cakepp
ngirii,mengiri
coxok,cocok
buatin,buatkan
statusx,statusnya
cem,macam
sunggu,sungguh
ammiin,amin
haddeh,aduh
maass,mass
segerr,segarr
kemn,kemana
suipit,sipit
sipiit,sipit
kedengeran,kedengaran
semangaatt,semangat
promil,program hamil
lancr,lancar
keputihn,keputihan
gratiss,gratis
kebayang,terbayang
"mdh"",mudah-mudah"
bz,bisa
ammin,amin
mendapatkn,mendapatkan
lucuuk,lucu
amaatt,amat
aje,saja
yaoloh,yaallah
ngerayain,merayakan
sotoy,sok tau
yok,yuk
d.bikinin,dibikin
mmz,mas
bikinin,bikin
bapeer,bawa perasaan
keliatannya,kelihatannya
siih,sih
diginiin,dibeginikan
hadeehh,aduh
pu,punya
suamii,suami
krenn,keren
kebykan,kebanyakan
tingal,tinggal
pernikahn,pernikahan
ngtain,mengatai
macem,macam
bagusnyee,bagusnya
kemaren,kemarin
hmpir,hampir
liatnyaa,lihatnya
waw,wow
mbuh,embuh
bsk,besok
waa,wah
berbiihh,barbie
canteek,cantik
teru,terus
nyatok,mencatok
nyampenya,sampainya
goncengin,boncengkan
kasi,kasih
dianterin,diantar
gebleg,geblek
bosen,bosan
anterin,antar
ngantar,mengantar
nganterin,mengantarkan
mz,mas
nerima,menerima
ati2,hati-hati
yeuh,ya
kmn,kemana
dianter,diantar
disupirin,disopiri
jidad,jidat
novembr,november
hri,hari
bedain,membedakan
genduut,gendut
bertatto,bertato
brrt,berarti
kana,kanan
dtg,datang
sblah,sebelah
tengaj,tengah
ps,pas
gmpg,gampang
engk,enggak
apal,hapal
dak,indak
rupa2nya,rupa-rupanya
kembaq,kembar
tngh,tengah
mknya,makanya
prmpuan,perempuan
ketuker,tertukar
drimnanya,darimananya
cntikan,cantikan
syp,siapa
bcnda,bercanda
bazengg,bajingan
haii,hai
bosaan,bosan
gitu2,begitu-gitu
kmana2,kemana-mana
hrsnya,harusnya
sdg,sedang
komentar2,komentar-komentar
kenyataan2,kenyataan-kenyataan
silahkan,silakan
lwt,lewat
sukur2,sukur-sukur
baek2,baik-baik
cma,cuma
berbeda2,berbeda-beda
dibkatakan,dikatakan
doonk,dong
pengikuy,pengikut
ngmngin,mengomongkan
sblmnya,sebelumnya
maksd,maksud
adkah,adakah
menbelah,membelah
ayuk,ayo
mngira,mengira
bertolernsi,bertoleransi
slahkan,salahkan
tolernsi,toleransi
sbnarnya,sebenarnya
ingi,ingin
oalaa,walah
menjelekan,menjelekkan
hadeuuh,aduh
dikemanain,dikemanakan
aneh2,aneh-aneh
bpknya,bapaknya
baca2,baca-baca
jwb,jawab
komen2,komen-komen
sebelum2nya,sebelum-sebelumnya
sbagai,sebagai
sedihh,sedih
gndakan,gandakan
kangeenya,kangenn
gaa,enggak
ganti'kn,menggantikan
tnang,tenang
kgeen,kangen
bsok,besok
hbis,habis
mti,mati
kangeen,kangen
bgect,banget
"kebaikan""y,kebaikannya"
dssi,disisi
kngenn,kangen
dasyat,dahsyat
aer,air
bgni,begini
skalii,sekali
gg,enggak
dtinggl,ditinggal
terbaiikk,terbaik
murahh,murah
pecahhg,pecah
kakakgh,kakak
terbaeek,terbaik
prempuan,perempuan
manteep,mantap
nggeh,engah
indonesiaa,indonesia
inia,ini
cepetan,cepatan
ntapss,mantap
kamii,kamii
smangat,semangat
qmu,kamu
sdkit2,sedikit-sedikit
tntg,tentang
penyakitny,penyakitnya
ngajarin,mengajari
laenny,lainnya
scpatny,secepatnya
sampein,sampaikan
tuany,tuanya
doa2,doa-doa
pjg,panjang
adeek,adek
bca,baca
netes,menetes
mataq,mataku
byangin,membayangkan
trjadi,terjadi
dposisi,diposisi
tanda2nya,tanda-tandanya
dijwb,dijawab
tmn2nya,teman-temannya
sayy,sayang
salaam,salam
ngajar,mengajar
fto2,foto-foto
laen,lain
dallam,dalam
tentanh,tentang
nangiss,menangis
nnton,menonton
kejadianny,kejadiannya
klg,keluarga
sayaang,sayang
msg2,masing-masing
pgnnya,penginnya
meluk,memeluk
mupeng,muka pengin
caya,percaya
buseett,buset
mblo,jomblo
gagahx,gagahnya
miriip,mirip
niru,meniru
bpkmu,bapakmu
sangt,sangat
baang,bang
gasih,enggak sih
yuu,yuk
samaa,sama
ngademin,mengademkan
makasi,terima kasih
loo,loh
gils,gila
ono,sono
weeh,wih
suksea,sukses
temenan,berteman
sehh,sih
deket,dekat
dekt,dekat
gengg,geng
yawloh,ya allah
bhnya,bahannya
abanggku,abangku
sayangg,sayang
dsni,disini
ciiee,ciee
kokohh,engkoh
pdhal,padahal
takutt,takut
yuks,yuk
pnjual,penjual
yh,ya
dung,dong
latian,latihan
aakk,ah
soga,moga
tteh,teteh
sintron,sinetron
astagaa,astaga
ancurr,hancur
dblkang,dibelakang
yayang,sayang
aplks,aplikasi
ska,suka
ktawa,ketawa
ngepoin,mengepoi
uuhh,uh
beut,banget
pengeenn,pengin
hatii,hatii
besook,besok
gtuu,begitu
njayy,anjay
maacih,terima kasih
tokayy,tahi
to,tapi
mksdku,maksudku
gituin,begitukan
lgsung,langsung
cba,coba
nh,nih
"ilang"",hilang-hilang"
giniin,beginikan
ksini,kesini
kubarikan,kuberikan
ayank,sayang
anyeng,anjing
yankk,sayang
cukurr,cukur
yhaa,ya
qaqaa,kakak
sayangkuu,sayangku
kakakuu,kakakku
banx,bang
edann,edan
bape,bawa perasaan
"artis"",artis-artis"
ngelahirin,melahirkan
paksain,memaksa
biasaa,biasa
hub,hubungi
hubunggi,hubungi
looh,loh
telimakacih,terima kasih
nerawang,menerawang
didapet,didapat
tanya2,tanya-tanya
pede,percaya diri
kuningg,kuning
nyolot,menyolot
elahh,alah
pnting,penting
bela2in,membela-bela
marah2an,marah-marahan
wlaupun,walaupun
syantiikk,cantik
"bwa"",bawa-bawa"
agma,agama
hijabb,hijab
ntah,entah
pan,kapan
mateek,mati
geetoo,begitu
sewain,menyewa
kokk,kok
muluu,melulu
yaang,yang
yapp,ya
uwahh,wah
bnr2,benar-benar
psgn,pasangan
ujg,ujung
rmbut,rambut
smp,sampai
kki,kaki
hayukk,hayo
ntab,mantab
atuhh,atuh
yukss,yuk
lihaatt,lihatt
liatt,lihatt
cuyy,cuy
gapernah,enggak pernah
liatii,lihat
jombss,jomblo
emesshh,gemass
gemeess,gemass
pooll,pol
gemesyak,gemas ya
ngegmesin,menggemaskan
hndak,hendak
hndk,hendak
iih,ih
lutunaa,lucunya
abiz,habis
gemes,gemas
ngarepp,mengharap
aamiinin,amin
tay,tahi
toketnya,teteknya
tumpe2,tumpah-tumpah
lenje,lenjeh
cantinya,cantiknya
macam2,macam-macam
"mbak"",mbak-mbak"
ngatain,mengatai
mbaknyaahh,mbaknya
pyudara,payudara
ditutupin,ditutupi
bgitu,begitu
ngomongnya,mengomongnya
sich,sih
cantiik2,cantik-cantik
hati.a,hatinya
mk.a,makanya
mlt.a,mulutnya
nyerocoos,mencerocos
kyk.a,kayaknya
sklh,sekolah
pljrn,pelajaran
srng,sering
ngilang,menghilang
dikatain,dikatai
ngalahin,mengalahkan
brisi,berisi
pkoknya,pokoknya
canti,cantik
astagfirullh,astagfirullah
nutupin,menutupi
ori,orisinal
kakakaa,kakak
batwc,banget
kamyuhh,kamu
dbwh,dibawah
bukti2,bukti-bukti
mao,mau
murhan,murahan
prwtn,perawatan
wjh,wajah
bgett,banget
mereka2,mereka-mereka
pakke,pakai
dipake,dipakai
ktergantungan,ketergantungan
prwatn,perawatan
ngebuktiin,membuktikan
hslnya,hasilnya
awal2,awal-awal
setabil,stabil
maksih,terima kasih
bbrpa,beberapa
"gara"",gara-gara"
"benar"",benar-benar"
ajaibb,ajaib
pokonya,pokoknya
setujuu,setuju
digituin,dibegitukan
sekolahin,sekolahkan
ajarin,ajarkan
sendirii,sendiri
mrnghadapi,menghadapi
apalg,apalagi
naka,nakal
sdkt,sedikit
besar2in,besar-besarkan
bgmana,bagaimana
s*inetr*n,sinetron
mrusak,merusak
mndpt,mendapat
skt,sakit
sebnyak,sebanyak
terburu2,terburu-buru
baik2,baik-baik
ngumpat2,mengumpat-ngumpat
nantangin,menantang
ngegampar,menggampar
ngelaporin,melaporkan
salahin,salahkan
konsekwensi,konsekuensi
muliany,mulianya
mungki,mungkin
lngsung,langsung
tsb,tersebut
t4,tempat
bacahalah,bacalah
dikerasin,dikerasi
gkkan,enggak akan
ngulangin,mengulangi
bedaa,beda
pnyaa,punya
bol3h,boleh
ngadu,mengadu
ketauan,ketahuan
dimarahin,dimarahi
nyelesain,menyelesaikan
troma,trauma
kerasin,kerasi
kamu2,kamu-kamu
cewer,jewer
bilanh,bilang
jwban,jawaban
nuduh,menuduh
ngatur,mengatur
rajin2,rajin-rajin
bacaa,baca
kekk,kayak
jungkiir,jungkir
gunaa,guna
bales2in,balas-membalas
orangg,orang
byak,banyak
kepad,kepada
bantuanny,bantuannya
ttinggi,tinggi
perna,pernah
grgr,gara-gara
jari2,jari-jari
pukulin,pukuli
bengkak2,bengkak-bengkak
komentarin,komentari
bijak2,bijak-bijak
lama2,lama-lama
menurur,menurut
tipe2,tipe-tipe
diliat,dilihat
liatlah,lihatlah
teguran2,teguran-teguran
gr2,gara-gara
gamau,enggak mau
skolah,sekolah
pdahal,padahal
klas,kelas
tkut,takut
grunya,gurunya
pndah,pindah
liat2,lihat-lihat
masukin,memasukkan
dilindungin,dilindungi
kasiaann,kasihan
miring2,miring-miring
tinggalin,tinggalkan
kaitannha,kaitannya
sud,sudah
pinter,pintar
rana,ranah
thdp,terhadap
scr,secara
bhkn,bahkan
justeru,justru
ngatai,mengatai
kln,kalian
sukak,suka
termuraahh,termurah
brkunjun,berkunjung
suarranya,suaranya
"bner"",benar-benar"
iu,itu
bguss,bagus
kmaren,kemarin
ambilin,mengambil
luuaar,luar
redho,ridho
rezki,rezeki
kepd,kepada
luaarr,luar
jadilh,jadilah
bnr,benar
terhaaru,terharu
orrunya,orang tuanya
flm,film
kalok,kalo
adek2,adek-adek
loncatt,loncat
hampass,hempas
tehh,teh
bunga2,bunga-bunga
apaan,apaan
ituh,itu
suaranyaa,suaranya
idoolaa,idola
pulaa,pula
penyanyi2,penyanyi-penyanyi
wiih,wih
allaahh,allah
ajahh,saja
trims,terima kasih
dehat,sehat
salamm,salam
hari2,hari-hari
sihat,sehat
rekomendain,rekomendasikan
truss,terus
bangt,banget
cepet,cepat
pesen,pesan
boong,bohong
prawatan,perawatan
mkin,makin
dimao,dimau
dijadiin,dijadikan
silahkn,silakan
kasiatnya,khasiatnya
"minyak""an,minyak-minyakan"
suksess,sukses
prodak,produk
trasa,terasa
minpi,mimpi
bner2,benar-benar
mutihin,memutihkan
smster,semester
kmren,kemarin
"ngomong"",ngomong-ngomong"
udehh,sudah
syngnya,sayangnya
dipermainin,dipermainkan
dasarr,dasar
waaw,wow
canntikk,cantikk
mukax,mukanya
cantikx,cantiknya
fatanik,fanatik
protestin,protestan
kakau,kalau
marh,marah
emngnya,memangnya
darpada,daripada
pkk,pakai
sling,saling
agama'ny,agamanya
bilng,bilang
prcy,percaya
lurusin,meluruskan
biri,biru
luco,lucu
ultha,ultah
batikk,batik
arab2,arab-arab
luchu,lucu
syang,sayang
ngasi,mengasih
naak,nak
astafirullah,astagfirullah
peragain,peragakan
shayy,say
anjaayy,anjay
shay,say
ngilerr,mengiler
woyy,woy
shaay,say
hempaass,hempas
syantiek,cantik
njay,anjay
hehh,eh
cantik2,cantik-cantik
kam,kamu
ingeet,ingat
sblh,sebelah
nawarin,menawari
jauhh,jauh
waahh,wah
ajakin,mengajak
mntn,mantan
ade,adek
luhh,lu
yookk,yuk
jrnk,jarang
"jelas"",jelas-jelas"
kayax,kayak
dblkng,dibelakang
sangatt,sangat
iyap,iya
mayann,lumayan
autuhh,tau tuh
atutt,takut
ketara,tertara
mbaass,mbak
bund,bunda
almh,almarhumah
temenkuuh,temanku
suami'y,suaminya
bngeett,banget
entr,entar
kyax,kayak
cuantikk,cantik
mksdnya,maksudnya
kucing'y,kucingnya
nama'in,namai
panggilan'ya,panggilannya
panggilan'y,panggilannya
z,saja
kalw,kalau
tips2,tips-tips
alu,aku
ngerrii,ngeri
ngrii,mengiri
amatt,amat
smpai,sampai
kox,kok
tmbah,tambah
cntikk,cantik
pkee,pakai
smkin,semakin
bgmna,bagaimana
ssorg,seseorang
hdpn,hadapan
foto2,foto-foto
mnambh,menambah
ktaatan,ketaatan
stju,setuju
dilepas2,dilepas-lepas
istiqomahh,istikamah
prodaknya,produknya
amu,kamu
jilbb,jilbab
tmn,teman
ndut,gendut
ngecek,mengecek
psti,pasti
penasarn,penasaran
astauviruloh,astagfirullah
paak,pak
diajarin,diajari
gawl,gaul
kecr,kece
laah,lah
aned,banget
gingsungny,gingsulnya
blh,boleh
cariin,carikan
kenceng,kencang
cuanti,cantik
mbanya,mbaknya
knlan,kenalan
mbaakk,mbak
mrka,mereka
nyusahhin,menyusahkan
byaran,bayaran
wlawpun,walaupun
sedangkn,sedangkan
tnpa,tanpa
bnggain,banggakan
nyusahin,menyusahkan
malu2in,malu-malui
dibanggain,dibanggakan
wlau,walau
komenan,komentar
"bangga""in,membangga-banggakan"
krya,karya
"bilang"",bilang-bilang"
tinggall,tinggal
dmna,dimana
dripda,daripada
bangga2in,membangga-banggakan
dibnggain,dibanggakan
karya2,karya-karya
drimana,darimana
ngepake',memakai
gksalah,enggak salah
nuntut,menuntut
ngebiarin,membiarkan
bhas,bahas
lagu'y,lagunya
jadiin,jadikan
diem,diam
nyampah,menyampah
"mba"",mbak-mbak"
bukan'a,bukannya
tappi,tapi
kalli,kali
pacara,pacaran
"ngerebut"",merebut-rebut"
lluu,lu
ngerussak,merusak
"bela""in,membela-bela"
bellain,membela
kallo,kalo
coment,komen
dewassa,dewasa
comnet,komen
"pikir"",pikir-pikir"
kaya'a,kayanya
kitaa,kita
sgtu'y,sebegitunya
ngebelain,membela
tpii,tapi
"karya"",karya-karya"
do,di
cali,caci
penghrgaan,penghargaan
ajjh,saja
lbihh,lebih
baikk,baik
drii,dari
"artist"",artis-artis"
"maki"",maki-maki"
sendirinnya,sendirinya
stidaknya,setidaknya
may,mau
trbaikk,terbaik
punn,pun
mengikutii,mengikuti
atassan,atasan
klauu,kalau
jngnn,jangan
so,sok
sendirinyya,sendirinya
frestasii,prestasi
mst,mesti
add,ada
see,sih
sibukx,sibuknya
in,ini
katanyaa,katanya
lawaas,lawas
kocaak,kocak
syng,sayang
adenya,adeknya
pkoknyaa,pokoknya
dsana,disana
dua2nya,dua-duanya
nampak,menampak
tetehh,teteh
cobain,coba
muga,moga
kenalin,mengenalkan
janka,jangka
waaww,wow
mantapp,mantap
kageet,kaget
oplas,operasi plastik
nambahh,bertambah
paripurnahh,paripurna
wanitah,wanita
indonesiaah,indonesia
cumn,cuman
gegra,gegara
brita,berita
fotbar,foto bareng
wajarr,wajar
sngt,sangat
wk,waktu
bingiitt,banget
nampar,menampar
tukan,tukang
jatoh,jatuh
"muka"",muka-muka"
cantik2nya,cantik-cantiknya
sdgkn,sedangkan
"apa"",apa-apa"
mancungin,memancungkan
idung,hidung
kusem,kusam
drpada,daripada
kmar,kamar
diemm,diam
tnggu,tunggu
ketawain,mentertawakan
yaelahh,alah
"sikap"",sikap-sikap"
bales,balas
ampuun,ampun
ngejatuhin,manjatuhkan
ngelakuin,melakukan
gedeg,gedek
muka2,muka-muka
eey,eh
